M.station,M.tobs
USC00519281,77.0
USC00519281,80.0
USC00519281,80.0
USC00519281,75.0
USC00519281,73.0
USC00519281,78.0
USC00519281,77.0
USC00519281,78.0
USC00519281,80.0
USC00519281,80.0
USC00519281,78.0
USC00519281,78.0
USC00519281,78.0
USC00519281,73.0
USC00519281,74.0
USC00519281,80.0
USC00519281,79.0
USC00519281,77.0
USC00519281,80.0
USC00519281,76.0
USC00519281,79.0
USC00519281,75.0
USC00519281,79.0
USC00519281,78.0
USC00519281,79.0
USC00519281,78.0
USC00519281,78.0
USC00519281,76.0
USC00519281,74.0
USC00519281,77.0
USC00519281,78.0
USC00519281,79.0
USC00519281,79.0
USC00519281,77.0
USC00519281,80.0
USC00519281,78.0
USC00519281,78.0
USC00519281,78.0
USC00519281,77.0
USC00519281,79.0
USC00519281,79.0
USC00519281,79.0
USC00519281,79.0
USC00519281,75.0
USC00519281,76.0
USC00519281,73.0
USC00519281,72.0
USC00519281,71.0
USC00519281,77.0
USC00519281,79.0
USC00519281,78.0
USC00519281,79.0
USC00519281,77.0
USC00519281,79.0
USC00519281,77.0
USC00519281,78.0
USC00519281,78.0
USC00519281,78.0
USC00519281,78.0
USC00519281,77.0
USC00519281,74.0
USC00519281,75.0
USC00519281,76.0
USC00519281,73.0
USC00519281,76.0
USC00519281,74.0
USC00519281,77.0
USC00519281,76.0
USC00519281,76.0
USC00519281,74.0
USC00519281,75.0
USC00519281,75.0
USC00519281,75.0
USC00519281,75.0
USC00519281,71.0
USC00519281,63.0
USC00519281,70.0
USC00519281,68.0
USC00519281,67.0
USC00519281,77.0
USC00519281,74.0
USC00519281,77.0
USC00519281,76.0
USC00519281,76.0
USC00519281,75.0
USC00519281,76.0
USC00519281,75.0
USC00519281,73.0
USC00519281,75.0
USC00519281,73.0
USC00519281,75.0
USC00519281,74.0
USC00519281,75.0
USC00519281,74.0
USC00519281,75.0
USC00519281,73.0
USC00519281,75.0
USC00519281,73.0
USC00519281,73.0
USC00519281,74.0
USC00519281,70.0
USC00519281,72.0
USC00519281,70.0
USC00519281,67.0
USC00519281,67.0
USC00519281,69.0
USC00519281,70.0
USC00519281,68.0
USC00519281,69.0
USC00519281,69.0
USC00519281,66.0
USC00519281,65.0
USC00519281,68.0
USC00519281,62.0
USC00519281,75.0
USC00519281,70.0
USC00519281,69.0
USC00519281,76.0
USC00519281,76.0
USC00519281,74.0
USC00519281,73.0
USC00519281,71.0
USC00519281,74.0
USC00519281,74.0
USC00519281,72.0
USC00519281,71.0
USC00519281,72.0
USC00519281,74.0
USC00519281,69.0
USC00519281,67.0
USC00519281,72.0
USC00519281,70.0
USC00519281,64.0
USC00519281,63.0
USC00519281,63.0
USC00519281,62.0
USC00519281,70.0
USC00519281,70.0
USC00519281,62.0
USC00519281,62.0
USC00519281,63.0
USC00519281,65.0
USC00519281,69.0
USC00519281,77.0
USC00519281,70.0
USC00519281,74.0
USC00519281,69.0
USC00519281,72.0
USC00519281,71.0
USC00519281,69.0
USC00519281,71.0
USC00519281,71.0
USC00519281,72.0
USC00519281,72.0
USC00519281,69.0
USC00519281,70.0
USC00519281,66.0
USC00519281,65.0
USC00519281,69.0
USC00519281,68.0
USC00519281,68.0
USC00519281,68.0
USC00519281,59.0
USC00519281,60.0
USC00519281,70.0
USC00519281,73.0
USC00519281,75.0
USC00519281,64.0
USC00519281,59.0
USC00519281,59.0
USC00519281,62.0
USC00519281,68.0
USC00519281,70.0
USC00519281,73.0
USC00519281,79.0
USC00519281,75.0
USC00519281,65.0
USC00519281,70.0
USC00519281,74.0
USC00519281,70.0
USC00519281,70.0
USC00519281,71.0
USC00519281,71.0
USC00519281,71.0
USC00519281,69.0
USC00519281,61.0
USC00519281,67.0
USC00519281,65.0
USC00519281,72.0
USC00519281,71.0
USC00519281,73.0
USC00519281,72.0
USC00519281,77.0
USC00519281,73.0
USC00519281,67.0
USC00519281,62.0
USC00519281,64.0
USC00519281,67.0
USC00519281,66.0
USC00519281,81.0
USC00519281,69.0
USC00519281,66.0
USC00519281,67.0
USC00519281,69.0
USC00519281,66.0
USC00519281,68.0
USC00519281,65.0
USC00519281,74.0
USC00519281,69.0
USC00519281,72.0
USC00519281,73.0
USC00519281,72.0
USC00519281,71.0
USC00519281,76.0
USC00519281,77.0
USC00519281,76.0
USC00519281,74.0
USC00519281,68.0
USC00519281,73.0
USC00519281,71.0
USC00519281,74.0
USC00519281,75.0
USC00519281,70.0
USC00519281,67.0
USC00519281,71.0
USC00519281,67.0
USC00519281,74.0
USC00519281,77.0
USC00519281,78.0
USC00519281,67.0
USC00519281,70.0
USC00519281,69.0
USC00519281,69.0
USC00519281,74.0
USC00519281,78.0
USC00519281,71.0
USC00519281,67.0
USC00519281,68.0
USC00519281,67.0
USC00519281,76.0
USC00519281,69.0
USC00519281,72.0
USC00519281,76.0
USC00519281,68.0
USC00519281,72.0
USC00519281,74.0
USC00519281,70.0
USC00519281,67.0
USC00519281,72.0
USC00519281,60.0
USC00519281,65.0
USC00519281,75.0
USC00519281,70.0
USC00519281,75.0
USC00519281,70.0
USC00519281,79.0
USC00519281,75.0
USC00519281,70.0
USC00519281,67.0
USC00519281,74.0
USC00519281,70.0
USC00519281,75.0
USC00519281,76.0
USC00519281,77.0
USC00519281,74.0
USC00519281,74.0
USC00519281,74.0
USC00519281,69.0
USC00519281,68.0
USC00519281,76.0
USC00519281,74.0
USC00519281,71.0
USC00519281,71.0
USC00519281,74.0
USC00519281,74.0
USC00519281,74.0
USC00519281,74.0
USC00519281,80.0
USC00519281,74.0
USC00519281,72.0
USC00519281,75.0
USC00519281,80.0
USC00519281,76.0
USC00519281,76.0
USC00519281,77.0
USC00519281,75.0
USC00519281,75.0
USC00519281,75.0
USC00519281,75.0
USC00519281,72.0
USC00519281,74.0
USC00519281,74.0
USC00519281,74.0
USC00519281,76.0
USC00519281,74.0
USC00519281,75.0
USC00519281,73.0
USC00519281,79.0
USC00519281,75.0
USC00519281,72.0
USC00519281,72.0
USC00519281,74.0
USC00519281,72.0
USC00519281,72.0
USC00519281,77.0
USC00519281,71.0
USC00519281,73.0
USC00519281,76.0
USC00519281,77.0
USC00519281,76.0
USC00519281,76.0
USC00519281,79.0
USC00519281,81.0
USC00519281,76.0
USC00519281,78.0
USC00519281,77.0
USC00519281,74.0
USC00519281,75.0
USC00519281,78.0
USC00519281,78.0
USC00519281,69.0
USC00519281,72.0
USC00519281,74.0
USC00519281,74.0
USC00519281,76.0
USC00519281,80.0
USC00519281,80.0
USC00519281,76.0
USC00519281,76.0
USC00519281,76.0
USC00519281,77.0
USC00519281,77.0
USC00519281,77.0
USC00519281,82.0
USC00519281,75.0
USC00519281,77.0
USC00519281,75.0
USC00519281,76.0
USC00519281,81.0
USC00519281,82.0
USC00519281,81.0
USC00519281,76.0
USC00519281,77.0
USC00519281,82.0
USC00519281,83.0
USC00519281,77.0
USC00519281,77.0
USC00519281,77.0
USC00519281,76.0
USC00519281,76.0
USC00519281,79.0
